"Наименование факультета","","Наименование направления подготовки","Наименование направленности (профиля)","Форма обучения","Основа  обучения (бюджет)","КЦП бюджет","Проходной 
балл 2020","в т.ч.особое право","Основа обучения (внебюджет)","КЦП внебюджет","Вступительное испытание 1","Вступительное испытание 2_1","Вступительное испытание 2_2","Вступительное испытание3"
"Биологии и экологии","https://www.demidpriem.org/факультет-биологии-и-экологии","Химия","Медицинская и фармацевтическая химия","очная форма","Бюджет","40","188","4","Внебюджет","20","Химия","Математика","Биология","Русский"
"Биологии и экологии","https://www.demidpriem.org/факультет-биологии-и-экологии","Экология и природопользование","Экологическая безопасность","очная форма","Бюджет","20","193","2","Внебюджет","10","Биология","Математика","Химия","Русский"
"Биологии и экологии","https://www.demidpriem.org/факультет-биологии-и-экологии","Биология","Биоэкология","очная форма","Бюджет","30","189","3","Внебюджет","15","Биология","Математика","Химия","Русский"
"Биологии и экологии","https://www.demidpriem.org/факультет-биологии-и-экологии","Биология","Биоинженерия и биотехнология ","очная форма"," Бюджет","30","189","3"," Внебюджет","15","Биология","Математика","Химия","Русский"
"ИВТ","https://www.demidpriem.org/факультет-ивт","Прикладная математика и информатика","Прикладная математика и информатика","очная форма","  Бюджет","64","217","7","Внебюджет","15","Математика","Информатика","","Русский"
"ИВТ","https://www.demidpriem.org/факультет-ивт","Фундаментальная информатика и информационные технологии","Информатика и компьютерные науки","очная форма","Бюджет","55","214","6","Внебюджет","15","Математика","Информатика","","Русский"
"ИВТ","https://www.demidpriem.org/факультет-ивт","Прикладная информатика","Информационные технологии в цифровой экономике","очная форма","Бюджет","40","211","4","Внебюджет","15","Математика","Информатика","","Русский"
"Исторический","https://www.demidpriem.org/исторический-факультет","Реклама и связи с общественностью","Реклама и связи с общественностью","очная форма","Бюджет","0","","0","Внебюджет","25","Обществознание","История","","Русский"
"Исторический","https://www.demidpriem.org/исторический-факультет","Туризм","Туризм","очная форма","Бюджет","46","228","5","Внебюджет","15","История","Обществознание","","Русский"
"Исторический","https://www.demidpriem.org/исторический-факультет","История","История","очная форма","Бюджет","52","231","6","Внебюджет","10","История","Обществознание","","Русский"
"Математический","https://www.demidpriem.org/исторический-факультет","Прикладная математика и информатика  ","Прикладное программирование и информационные технологии","очная форма","Бюджет","64","219","7","Внебюджет","10","Математика","Информатика","","Русский"
"Математический","https://www.demidpriem.org/математический-факультет","Математика и компьютерные науки","Программирование, алгоритмы и анализ данных","очная форма","Бюджет","25","213","3","Внебюджет","5","Математика","Информатика","","Русский"
"Математический","https://www.demidpriem.org/математический-факультет","Информационная безопасность","Безопасность компьютерных систем (в сфере информационных технологий)","очная форма","Бюджет","30","214","3","Внебюджет","10","Математика","Информатика","","Русский"
"Математический","https://www.demidpriem.org/математический-факультет","Компьютерная безопасность","Математические методы защиты информации ","очная форма","Бюджет","30","235","3","Внебюджет","0","Математика","Информатика","","Русский"
"Психологии","https://www.demidpriem.org/факультет-психологии","Психология","Психология","очная форма","Бюджет","49","205","5","Внебюджет","25","Биология","Математика","","Русский"
"Физический","https://www.demidpriem.org/физический-факультет","Физика \ Радиофизика","Физика и компьютерные технологии; Физика в образовательной деятельности","очная форма","Бюджет","35","149","4","Внебюджет","3","Физика","Математика","Информатика","Русский"
"Физический","https://www.demidpriem.org/физический-факультет","Радиофизика","Телекоммуникационные системы и технологии","очная форма","","","131","","","","","","",""
"Физический","https://www.demidpriem.org/физический-факультет","Радиотехника \ Инфокоммуникационные технологии и системы связи \ Электроника и наноэлектроника","Радиотехника","очная форма","Бюджет","82","151","9","Внебюджет","5","Математика","Физика","Информатика","Русский"
"Физический","https://www.demidpriem.org/физический-факультет","Инфокоммуникационные технологии и системы связи","Сети связи и системы коммутации","","","","139","","","","","","",""
"Физический","https://www.demidpriem.org/физический-факультет","Электроника и наноэлектроника","Интегральная электроника и наноэлектроника","","","","137","","","","","","",""
"Институт иностранных языков","https://www.demidpriem.org/институт-иностранных-языков","Филология","Зарубежная филология (английский язык и литература)","очная форма","Бюджет","8","272","1","Внебюджет","20","Литература","Иностранный язык","","Русский"
"Филологии и коммуникации","https://www.demidpriem.org/факультет-филологии-и-коммуникации","Филология","Прикладная филология (русский язык)","очная форма","Бюджет","7","254","1","Внебюджет","20","Литература","Обществознание","","Русский"
"Филологии и коммуникации","https://www.demidpriem.org/факультет-филологии-и-коммуникации","Филология","Прикладная филология (русский язык)","заочная форма","Бюджет","25","","3","Внебюджет","5","Литература","Обществознание","","Русский"
"Социально-политических наук","https://www.demidpriem.org/факультет-спн","Социология","Организация и проведение социологических и маркетинговых исследований","очная форма","Бюджет","20","225","2","Внебюджет","10","Обществознание","Математика","","Русский"
"Социально-политических наук","https://www.demidpriem.org/факультет-спн","Социальная работа","Технологии социальной работы","очная форма","Бюджет","20","201","2","Внебюджет","5","История","Обществознание","","Русский"
"Социально-политических наук","https://www.demidpriem.org/факультет-спн","Социальная работа","Технологии социальной работы","заочная форма","Бюджет","15","192","2","Внебюджет","5","История","Обществознание","","Русский"
